uniprot_id	interpro_id	pfam_id	entry_name	start	end	source_version	fetch_date
A0A024R1R8	IPR015157	PF09072	Translation machinery associated TMA7	3	64	108.0	2026-04-11
A0A024RBG1	IPR000086	PF00293	NUDIX domain	20	143	108.0	2026-04-11
A0A075B734	IPR000425	PF00230	Major intrinsic protein	35	276	108.0	2026-04-11
A0A075B759	IPR002130	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	8	162	108.0	2026-04-11
A0A075B767	IPR002130	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	7	162	108.0	2026-04-11
A0A087WTH1	IPR007593	PF04505	Interferon-induced transmembrane protein	33	92	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	179	240	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	262	325	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	335	400	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	410	476	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	484	550	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	579	644	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	654	720	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	728	794	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	823	888	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	898	964	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	972	1038	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1067	1132	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1142	1208	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1216	1282	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1311	1376	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1386	1452	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1460	1526	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1555	1620	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1630	1696	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1704	1770	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1799	1864	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1874	1940	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	1948	2014	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2043	2108	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2118	2184	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2192	2258	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2287	2352	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2362	2428	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2436	2502	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2531	2596	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2606	2672	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2680	2746	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2775	2840	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2850	2916	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	2924	2990	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3019	3084	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3094	3160	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3168	3234	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3263	3328	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3338	3404	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3412	3478	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3507	3572	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3582	3648	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3656	3722	108.0	2026-04-11
A0A087WUL8	IPR010630	PF06758	Olduvai domain	3751	3817	108.0	2026-04-11
A0A087WUV0	IPR013087	PF00096	Zinc finger, C2H2 type	222	243	108.0	2026-04-11
A0A087WUV0	IPR013087	PF00096	Zinc finger, C2H2 type	249	271	108.0	2026-04-11
A0A087WUV0	IPR013087	PF00096	Zinc finger, C2H2 type	277	299	108.0	2026-04-11
A0A087WUV0		PF13465	Zinc-finger double domain	319	344	108.0	2026-04-11
A0A087WUV0	IPR013087	PF00096	Zinc finger, C2H2 type	361	383	108.0	2026-04-11
A0A087WUV0	IPR013087	PF00096	Zinc finger, C2H2 type	389	411	108.0	2026-04-11
A0A087WUV0		PF13465	Zinc-finger double domain	432	456	108.0	2026-04-11
A0A087WUV0	IPR013087	PF00096	Zinc finger, C2H2 type	473	495	108.0	2026-04-11
A0A087WV53	IPR000048	PF00612	IQ calmodulin-binding motif	30	49	108.0	2026-04-11
A0A087WV53	IPR013098	PF07679	Immunoglobulin I-set domain	54	142	108.0	2026-04-11
A0A087WV53	IPR013098	PF07679	Immunoglobulin I-set domain	149	237	108.0	2026-04-11
A0A087WVF3	IPR000195	PF00566	Rab-GTPase-TBC domain	105	312	108.0	2026-04-11
A0A087WXM9	IPR034545	PF27928	Meiosis-specific kinetochore protein	118	366	108.0	2026-04-11
A0A087WXS9	IPR000195	PF00566	Rab-GTPase-TBC domain	105	312	108.0	2026-04-11
A0A087X179	IPR000195	PF00566	Rab-GTPase-TBC domain	105	312	108.0	2026-04-11
A0A087X1C5	IPR001128	PF00067	Cytochrome P450	34	329	108.0	2026-04-11
A0A087X1C5	IPR001128	PF00067	Cytochrome P450	348	511	108.0	2026-04-11
A0A087X1G2	IPR000195	PF00566	Rab-GTPase-TBC domain	105	312	108.0	2026-04-11
A0A096LNP1	IPR025933	PF13841	Beta defensin	28	57	108.0	2026-04-11
